month,expert,bars,market_state,structure,five_minute_setup,raw_structural_candidates,aux_support_observed,model_available,training_candidates,calibration_month,calibration_candidates,calibration_base_rate,calibration_brier,probability_threshold,online_rank_percentile,minimum_effective_rank_percentile,mean_effective_rank_percentile,pace_relaxed_passes,score_drift,after_probability,after_monthly_cap,after_cooldown,selected_policy
2025-12,趋势多头,8010,1377,1319,2215,353,353,True,786,2025-11,231,0.2554112554112554,0.1897965245081348,0.34,0.65,0.55,0.5766284215547081,0,-0.0016576173662991578,0,0,0,True
2025-12,趋势空头,8010,1941,1826,2234,510,508,True,665,2025-11,446,0.2713004484304933,0.19615694132461683,0.42,0.65,0.55,0.5669252287067461,0,0.021547935888408642,0,0,0,True
2025-12,震荡多头反转,8010,1933,1524,260,53,53,True,87,2025-11,53,0.2830188679245283,0.20291918837517917,0.34,0.75,0.61,0.6461718681702945,0,0.0,0,0,0,True
2025-12,震荡空头反转,8010,1933,1610,260,46,46,True,92,2025-11,56,0.25,0.18623430081927358,0.34,0.65,0.55,0.5733477956799204,0,0.0014950088871590883,0,0,0,True
2025-12,高波动多头突破,8010,1721,1277,258,53,44,True,129,2025-11,48,0.10416666666666667,0.08991687655923002,0.35,0.68,0.55,0.5916899979711909,0,0.011412253925634983,0,0,0,True
2025-12,高波动空头突破,8010,1697,1320,274,57,56,True,103,2025-11,63,0.25396825396825395,0.18933017387876652,0.45,0.68,0.55,0.6048441964470578,0,-0.0008328141827143032,0,0,0,True
2026-01,趋势多头,8188,1238,1175,2241,308,308,True,1017,2025-12,353,0.24929178470254956,0.1865654089263538,0.34,0.65,0.55,0.6025906722331782,0,-0.0006467265869098682,0,0,0,True
2026-01,趋势空头,8188,1729,1645,2220,431,430,True,1111,2025-12,510,0.11764705882352941,0.10362745295029971,0.42,0.65,0.55,0.5551702443040445,0,-0.0034502377967292885,0,0,0,True
2026-01,震荡多头反转,8188,1853,1550,257,46,46,True,140,2025-12,53,0.18867924528301888,0.15214053702418348,0.34,0.75,0.61,0.6284214377206885,0,-0.0006068696501112247,0,0,0,True
2026-01,震荡空头反转,8188,1853,1519,281,58,58,True,148,2025-12,46,0.10869565217391304,0.09607700719304547,0.34,0.65,0.55,0.5597210541070927,0,-0.0025834817404363775,0,0,0,True
2026-01,高波动多头突破,8188,1598,1386,238,43,43,True,177,2025-12,53,0.2641509433962264,0.1798883884099191,0.35,0.68,0.55,0.615238940799543,1,-0.061150456164767886,1,1,1,True
2026-01,高波动空头突破,8188,1869,1577,299,65,65,True,166,2025-12,57,0.3157894736842105,0.20510388792242926,0.45,0.68,0.55,0.5617396558332827,0,0.005824468966676266,0,0,0,True
2026-02,趋势多头,7476,698,684,2073,187,187,True,1370,2026-01,308,0.22402597402597402,0.16589414049224788,0.34,0.65,0.55,0.6382165678393883,2,0.04397908188514171,18,10,5,True
2026-02,趋势空头,7476,1680,1565,2084,412,412,True,1621,2026-01,431,0.2737819025522042,0.19517405072176966,0.42,0.65,0.55,0.5862135922330096,0,0.007566469758515715,0,0,0,True
2026-02,震荡多头反转,7476,2403,1817,243,70,68,True,193,2026-01,46,0.13043478260869565,0.1133719675491022,0.34,0.75,0.61,0.6380339721254354,0,0.0001884773704820264,0,0,0,True
2026-02,震荡空头反转,7476,2403,2045,229,61,60,True,194,2026-01,58,0.3620689655172414,0.23059857178801577,0.34,0.65,0.65,0.6499999999999999,0,-0.0006174468602690997,21,8,7,True
2026-02,高波动多头突破,7476,906,608,257,36,36,True,230,2026-01,43,0.16279069767441862,0.1358298992132882,0.35,0.68,0.55,0.5560275519421862,0,-0.0021869794170080448,0,0,0,True
2026-02,高波动空头突破,7476,1941,1711,318,92,92,True,223,2026-01,65,0.3076923076923077,0.20136808849631518,0.45,0.68,0.5559552845528456,0.6192808536153828,2,-0.01192367973878794,2,2,2,True
2026-03,趋势多头,8277,1621,1541,2194,411,410,True,1678,2026-02,187,0.22459893048128343,0.17353811029089872,0.34,0.65,0.55,0.582846715328467,0,0.00047943603638564425,0,0,0,True
